central,"""Assin Fosu Comm.""",C,2007
central,"""Bisease Cath Parish""",P,2006
central,"""Cape Coast Meth.Dioc.""",P,1998
central,"""Cape Monument Board""",W,1973
central,"""Dunkwa Area Teachers""",W,1975
central,"""Dunkwa Traders """,C,1999
central,"""ECG Cape Coast""",W, 
central,"""Gomoa Kokofu""",C,2006
central,"""Gomoa Teachers""",W,1996
central,"""ILO Edwumapa""",C,2006
central,"""Internal Revenue Services (Cape Coast)""",W,1996
central,"""K.E.E.A Dist. Trs""",W,1992
central,"""K.E.E.A Workers""",W,1993
central,"""Mankessim Ebenezer Methodist""",C,2003
central,"""Mfantseman Dist Trs""",W,1996
central,"""Mustard seed""",C,2006
central,"""Oguaa Teachers""",W,1974
central,"""Progressive Women""",C,1993
central,"""Self Empowerment""",C,1999
central,"""Swedru Methodist""",P,1989
central,"""Swedru Teachers""",W,1970
central,"""T.H.L.D Teachers""",W,1992
central,"""Top Employees""",S,2003
central,"""Twifuman Community""",C,2000
central,"""U .E. W.""",W,1995
central,"""Univ. of Cape Coast (UCC)""",W,1992
central,"""Workers -Assin Fosu""",W,1996
eastern,"""Abuakwa North Teachers""",W,2006
eastern,"""Adoagyiri Teachers""",W,1987
eastern,"""Akim Oda West Dist. S.D.A.""",P,2005
eastern,"""Amanfrom -Biakoye""",C,2006
eastern,"""Anum Apapam Community""",C,2004
eastern,"""Anyinasin Community""",C,2005
eastern,"""Asetenapa """,C,2008
eastern,"""Asokore Comm""",C,2006
eastern,"""Attuobikrom Comm.""",C,2005
eastern,"""Aweregya Comm.""",C,2004
eastern,"""Begoro St. Theresa's""",C,1990
eastern,"""Birim South Trs.""",W,1998
eastern,"""Bowohomoden Community""",C,2004
eastern,"""Bunso CRIG Workers""",W,1975
eastern,"""Effiduase- St Theresa""",C,2004
eastern,"""Ghana Oil Palm Dev. Corp.""",W,1984
eastern,"""GUTA""",C,1999
eastern,"""Hydro Employees""",W,1971
eastern,"""Intravanues Inf. Empl.""",W,1980
eastern,"""Koforidua I.R.S.""",W,1998
eastern,"""Kpong""",C,2008
eastern,"""Kwaebibirem GES""",W,1997
eastern,"""Kwahu govt Hospital""",W,2006
eastern,"""MOFA""",W,2004
eastern,"""Municipal CC""",C,2006
eastern,"""New Tafo CRIG Emp.""",W,1973
eastern,"""Nkawkaw""",C,1994
eastern,"""Nsawam Area Apostolic""",P,2005
eastern,"""Oil Palm Reseach Inst.""",W,1992
eastern,"""Osino Community""",C,2006
eastern,"""Somanya Community""",C,2008
eastern,"""St. Anthony Parish""",P,2001
eastern,"""Univ. of Gh. Agric Reseach""",W,1986
eastern,"""Volta Lake Transport """,W,2000
eastern,"""West Akyim Trs.""",W,2000
greater-accra,"""A. M. E. Zion""",P,1999
greater-accra,"""Accountant Gen. Dept.""",W,1988
greater-accra,"""Accra Academy""",W,2003
greater-accra,"""Accra Chapel""",P,1996
greater-accra,"""Accra Metro""",C,2007
greater-accra,"""Agbogbloshie Market Women""",C,2007
greater-accra,"""Animal Res. Institute""",W,1999
greater-accra,"""Apostolic Church""",P,2006
greater-accra,"""Ass of God Isreal""",P,2006
greater-accra,"""Ass of God Keneshie""",P,2008
greater-accra,"""Associated Teachers""",W,1996
greater-accra,"""Atico Ass Church of Pentecost""",P,2006
greater-accra,"""Awoshie-Anyaa-Ablekuma""",P,2007
greater-accra,"""Bethel Methodist""",P,2007
greater-accra,"""Bomodwen""",C,2006
greater-accra,"""Bread of Life""",P,2006
greater-accra,"""Broadcasting Employees""",W,1974
greater-accra,"""C.S.R.I.(Secretariat)""",W,1998
greater-accra,"""Calvary Baptist""",P,2003
greater-accra,"""Calvary Methodist""",P,1977
greater-accra,"""Capital Co-operative""",C,2006
greater-accra,"""CEPS -Retired WKRS ASS""",W,0
greater-accra,"""Charity ass of God""",P,2008
greater-accra,"""Christ Presbytarian""",P,2008
greater-accra,"""Christ The King""",P,1983
greater-accra,"""Church of Pentecost - Darkuman """,P,2004
greater-accra,"""City of God""",C,2007
greater-accra,"""COP Newtown""",P,2008
greater-accra,"""COP Nii Boi Town""",P,2007
greater-accra,"""E.P.Church Mamprobi""",P,2007
greater-accra,"""Ebenezer Presbytarian Church""",P,2007
greater-accra,"""End Time Ministries""",P,2007
greater-accra,"""Ernest Bruce""",P,2008
