Country,Data Source: Organization Name,Data Source: Organization Name (group),Count,Number of Providers,Number of Branches,Number of Clients,Number of Loans,Number of Deposit Accounts,Gross Loan Portfolio,Total Assets,Total Deposits,GLP USD,Assets USD,Deposits USD,Country Level,Data Source Level,Data Source Group Level,Country Level,Data Source Level,Data Source Group Level,Country Level,Data Source Level,Data Source Group Level
Tanzania,WOCCU,WOCCU,1,0,1,0,0,0,0,0,0,0,0,0,High,Low,Low,8.2234,2.4872,2.48718,10,5,5
Tanzania,WSBI,WSBI,1,0,0,0,1,0,1,0,0,1,0,0,High,Medium,Medium,8.2234,7.6968,7.69677,10,10,10
Togo,AFMIN,Networks,1,0,1,0,0,0,1,1,1,0,1,0,Medium,Low,Medium,4.25,3.7143,6.47895,5,5,10
Togo,WOCCU,WOCCU,1,0,1,0,0,0,0,1,0,0,1,0,Medium,Low,Low,4.25,2.4872,2.48718,5,5,5
Togo,WSBI,WSBI,1,0,0,0,1,0,1,0,0,1,0,0,Medium,Medium,Medium,4.25,7.6968,7.69677,5,10,10
Uganda,Sigma Data & Computers,Technology Providers,18,0,18,18,18,18,18,18,18,18,18,18,High,High,High,9.0071,10,9.9505,10,10,10
Uganda,"Crystal Clear Software, Ltd.",Technology Providers,16,0,16,16,16,16,16,16,16,16,16,16,High,High,High,9.0071,10,9.9505,10,10,10
Uganda,MIX,MIX,14,0,5,2,2,4,0,0,5,0,0,3,High,Low,Low,9.0071,3.6339,3.63393,10,10,10
Uganda,Microcredit Summit,Microcredit Summit,6,0,6,0,0,1,6,6,6,0,6,1,High,Medium,Medium,9.0071,5.5813,5.58131,10,7,7
Uganda,AMFIU,Networks,4,0,4,0,0,0,0,4,0,0,3,0,High,Low,Medium,9.0071,2.8182,6.47895,10,3,10
Uganda,GSMA,GSMA,3,0,3,0,3,3,3,3,3,3,3,3,High,High,High,9.0071,9.826,9.82601,10,10,10
Uganda,ECLOF,Networks,1,0,0,0,0,1,0,1,1,0,1,1,High,Medium,Medium,9.0071,5.2308,6.47895,10,6,10
Uganda,Craft Silicon,Technology Providers,1,0,1,1,1,1,1,1,1,1,1,1,High,High,High,9.0071,10,9.9505,10,10,10
Uganda,FAO-GTZ MicroBanking System,Technology Providers,1,0,1,1,1,1,1,1,1,1,1,1,High,High,High,9.0071,9.3571,9.9505,10,10,10
Uganda,Neptune Software,Technology Providers,1,0,1,1,1,1,1,1,1,1,1,1,High,High,High,9.0071,10,9.9505,10,10,10
Uganda,WOCCU,WOCCU,1,0,1,0,0,0,0,0,0,0,0,0,High,Low,Low,9.0071,2.4872,2.48718,10,5,5
Zambia,MIX,MIX,7,0,0,0,0,1,0,0,0,0,0,2,High,Low,Low,8.2787,3.6339,3.63393,10,10,10
Zambia,GSMA,GSMA,4,0,4,4,4,4,4,4,4,4,4,4,High,High,High,8.2787,9.826,9.82601,10,10,10
Zambia,ABC Holdings Limited,Donors and funds,1,0,1,1,1,1,0,1,1,0,1,1,High,High,Medium,8.2787,8,4.32342,10,8,10
Zambia,ECLOF,Networks,1,0,0,0,0,1,0,1,1,0,1,1,High,Medium,Medium,8.2787,5.2308,6.47895,10,6,10
Zambia,DID,Other credit union networks,1,0,0,0,0,0,0,0,0,0,0,0,High,Low,Low,8.2787,.,.,10,0,0
Zambia,Craft Silicon,Technology Providers,1,0,1,1,1,1,1,1,1,1,1,1,High,High,High,8.2787,10,9.9505,10,10,10
Zambia,"Crystal Clear Software, Ltd.",Technology Providers,1,0,1,1,1,1,1,1,1,1,1,1,High,High,High,8.2787,10,9.9505,10,10,10
Zambia,Neptune Software,Technology Providers,1,0,1,1,1,1,1,1,1,1,1,1,High,High,High,8.2787,10,9.9505,10,10,10
Zambia,Sigma Data & Computers,Technology Providers,1,0,1,1,1,1,1,1,1,1,1,1,High,High,High,8.2787,10,9.9505,10,10,10
Zambia,WOCCU,WOCCU,1,0,1,0,0,0,0,1,0,0,1,0,High,Low,Low,8.2787,2.4872,2.48718,10,5,5
Zambia,WSBI,WSBI,1,0,0,0,1,0,1,0,0,1,0,0,High,Medium,Medium,8.2787,7.6968,7.69677,10,10,10
Zimbabwe,Microcredit Summit,Microcredit Summit,4,0,4,0,0,2,4,4,4,0,4,2,Medium,Medium,Medium,7.3607,5.5813,5.58131,10,7,7
Zimbabwe,INAFI,Networks,3,0,3,0,0,0,0,3,0,0,3,0,Medium,Low,Medium,7.3607,3.4615,6.47895,10,6,10
Zimbabwe,GSMA,GSMA,2,0,2,2,2,2,2,2,2,2,2,2,Medium,High,High,7.3607,9.826,9.82601,10,10,10
Zimbabwe,MIX,MIX,2,0,1,0,0,1,0,0,1,0,0,2,Medium,Low,Low,7.3607,3.6339,3.63393,10,10,10
Zimbabwe,Neptune Software,Technology Providers,1,0,1,1,1,1,1,1,1,1,1,1,Medium,High,High,7.3607,10,9.9505,10,10,10
Zimbabwe,WOCCU,WOCCU,1,0,1,0,0,0,0,0,0,0,0,0,Medium,Low,Low,7.3607,2.4872,2.48718,10,5,5
Zimbabwe,WSBI,WSBI,1,0,0,0,1,0,1,0,0,1,0,0,Medium,Medium,Medium,7.3607,7.6968,7.69677,10,10,10
