Country,Data Source: Organization Name,Data Source: Organization Name (group),Count,Number of Providers,Number of Branches,Number of Clients,Number of Loans,Number of Deposit Accounts,Gross Loan Portfolio,Total Assets,Total Deposits,GLP USD,Assets USD,Deposits USD,Country Level,Data Source Level,Data Source Group Level,Country Level,Data Source Level,Data Source Group Level,Country Level,Data Source Level,Data Source Group Level
"Congo, Democratic Republic of the",Octopus Microfinance,Technology Providers,2,0,2,2,2,2,2,2,2,2,2,2,Medium,High,High,4.965,10,9.9505,10,10,10
"Congo, Democratic Republic of the",GSMA,GSMA,1,0,1,1,1,1,1,1,1,1,1,1,Medium,High,High,4.965,9.826,9.82601,10,10,10
"Congo, Democratic Republic of the",Aquadev,Technology Providers,1,0,1,1,1,1,1,1,1,1,1,1,Medium,High,High,4.965,10,9.9505,10,10,10
"Congo, Democratic Republic of the","Crystal Clear Software, Ltd.",Technology Providers,1,0,1,1,1,1,1,1,1,1,1,1,Medium,High,High,4.965,10,9.9505,10,10,10
"Congo, Democratic Republic of the",Sigma Data & Computers,Technology Providers,1,0,1,1,1,1,1,1,1,1,1,1,Medium,High,High,4.965,10,9.9505,10,10,10
"Congo, Republic of the",MIX,MIX,4,0,1,0,0,0,0,0,1,0,0,0,High,Low,Low,9.5,3.6339,3.63393,10,10,10
Cote d'Ivoire (Ivory Coast),GSMA,GSMA,2,0,2,1,2,2,2,2,2,2,2,2,High,High,High,8.2727,9.826,9.82601,10,10,10
Cote d'Ivoire (Ivory Coast),Microcredit Summit,Microcredit Summit,1,0,1,0,0,0,1,1,1,0,1,0,High,Medium,Medium,8.2727,5.5813,5.58131,10,7,7
Cote d'Ivoire (Ivory Coast),AFMIN,Networks,1,0,1,0,0,0,0,1,0,0,1,0,High,Low,Medium,8.2727,3.7143,6.47895,10,5,10
Cote d'Ivoire (Ivory Coast),ECLOF,Networks,1,0,1,0,0,1,0,1,1,0,1,1,High,Medium,Medium,8.2727,5.2308,6.47895,10,6,10
Cote d'Ivoire (Ivory Coast),Kredits,Technology Providers,1,0,1,1,1,1,1,1,1,1,1,1,High,High,High,8.2727,10,9.9505,10,10,10
Cote d'Ivoire (Ivory Coast),WOCCU,WOCCU,1,0,1,0,0,0,0,1,0,0,1,0,High,Low,Low,8.2727,2.4872,2.48718,10,5,5
Cote d'Ivoire (Ivory Coast),WSBI,WSBI,1,0,0,0,1,0,1,0,0,1,0,0,High,Medium,Medium,8.2727,7.6968,7.69677,10,10,10
Djibouti,GSMA,GSMA,1,0,1,1,1,1,1,1,1,1,1,1,High,High,High,10,9.826,9.82601,10,10,10
Eritrea,Microcredit Summit,Microcredit Summit,1,0,1,0,0,1,1,1,1,0,1,1,Medium,Medium,Medium,5.4,5.5813,5.58131,7,7,7
Eritrea,SMCP,Self-reported,1,0,0,0,0,1,0,1,0,0,1,0,Medium,Low,Medium,5.4,3,5.3,7,3,6
Ethiopia,AEMFI,Networks,25,0,25,0,0,25,0,0,0,0,0,0,Low,Low,Medium,3.1957,2,6.47895,5,2,10
Ethiopia,MIX,MIX,3,0,0,1,1,1,0,1,0,0,1,0,Low,Low,Low,3.1957,3.6339,3.63393,5,10,10
Ethiopia,Microcredit Summit,Microcredit Summit,1,0,1,0,0,0,1,1,1,0,1,0,Low,Medium,Medium,3.1957,5.5813,5.58131,5,7,7
